,i,type
0,BB,Nda
1,SC1,SC4
2,SC2,SC4
3,SC3,SC5
############################################################
,i,j,L,k
0,0,1,0.4,2500
1,1,2,0.4,Constraint
2,2,3,0.4,Constraint
3,3,1,0.4,Constraint
############################################################
,j,angle,FC
BB-BB-SC1,1,150,25
############################################################
,i,j,k,h,dihedral,FC
BB-BB-SC1-SC2,-1,0,1,2,0,50
############################################################
