,i,type
0,BB,Nda
1,SC1,SC4
2,SC2,SC4
3,SC3,SC4
############################################################
,i,j,L,k
0,0,1,0.316,11236.705
1,1,2,0.274,Constraint
2,2,3,0.211,Constraint
3,3,1,0.313,Constraint
############################################################
,j,angle,FC
BB-BB-SC1,0,0,0
############################################################
,i,j,k,h,dihedral,FC
############################################################
