,i,type
0,BB,Nda
1,SC1,C3
2,SC2,Qd
############################################################
,i,j,L,k
0,0,1,0.358,5177.37
1,1,2,0.316,11954.21
############################################################
,j,angle,FC
BB-BB-SC1,1,158.575,49.295
############################################################
,i,j,k,h,dihedral,FC
############################################################
