,i,type
0,BB,Nda
1,SC1,N0
2,SC2,Qd
############################################################
,i,j,L,k
0,0,1,0.434,2156.995
1,1,2,0.337,9525.145
############################################################
,j,angle,FC
BB-BB-SC1,1,180,25
############################################################
,i,j,k,h,dihedral,FC
############################################################
